X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y
116.62,92.0,1008.0,17.92,15.0,103.0,64.31,48.0,1266.0,110.19,92.0,568.0,77.26,46.0,1266.0,77.26,46.0,1266.0,77.26,46.0,1266.0,77.26,46.0,1266.0,0.0
115.75,92.0,896.0,31.84,30.0,157.0,70.49,49.0,1647.0,107.7,94.0,513.0,81.45,54.0,1647.0,81.45,54.0,1647.0,81.45,54.0,1647.0,81.45,54.0,1647.0,0.0
124.16,98.0,957.0,29.31,27.0,93.0,64.22,48.0,1163.0,99.79,88.0,416.0,79.37,53.0,1163.0,79.37,53.0,1163.0,79.37,53.0,1163.0,79.37,53.0,1163.0,0.0
127.47,101.0,835.0,17.46,15.0,142.0,72.16,48.0,1770.0,108.19,94.0,516.0,81.32,48.0,1770.0,81.32,48.0,1770.0,81.32,48.0,1770.0,81.32,48.0,1770.0,0.0
125.29,101.0,953.0,17.32,15.0,85.0,63.08,48.0,1250.0,107.11,92.0,465.0,78.2,47.0,1250.0,78.2,47.0,1250.0,78.2,47.0,1250.0,78.2,47.0,1250.0,0.0
118.45,93.0,863.0,17.33,15.0,144.0,70.77,46.0,1883.0,103.51,89.0,444.0,77.51,45.0,1883.0,77.51,45.0,1883.0,77.51,45.0,1883.0,77.51,45.0,1883.0,0.0
114.52,91.0,877.0,24.17,22.0,174.0,68.97,49.0,2467.0,106.29,93.0,439.0,78.49,50.0,2467.0,78.49,50.0,2467.0,78.49,50.0,2467.0,78.49,50.0,2467.0,0.0
115.22,90.0,1141.0,28.84,27.0,207.0,73.06,48.0,2545.0,103.65,90.0,426.0,80.19,50.0,2545.0,80.19,50.0,2545.0,80.19,50.0,2545.0,80.19,50.0,2545.0,0.0
118.7,93.0,944.0,34.31,34.0,173.0,67.61,48.0,1853.0,107.26,92.0,500.0,81.97,54.0,1853.0,81.97,54.0,1853.0,81.97,54.0,1853.0,81.97,54.0,1853.0,0.0
115.88,92.0,770.0,17.96,15.0,150.0,71.9,49.0,1898.0,110.85,97.0,464.0,79.15,49.0,1898.0,79.15,49.0,1898.0,79.15,49.0,1898.0,79.15,49.0,1898.0,0.0
117.06,93.0,822.0,32.83,32.0,215.0,72.19,49.0,2310.0,107.88,93.0,490.0,82.49,53.0,2310.0,82.49,53.0,2310.0,82.49,53.0,2310.0,82.49,53.0,2310.0,0.0
117.12,93.0,844.0,22.21,20.0,122.0,68.49,49.0,1286.0,102.87,86.0,506.0,77.67,49.0,1286.0,77.67,49.0,1286.0,77.67,49.0,1286.0,77.67,49.0,1286.0,0.0
121.63,96.0,917.0,27.15,25.0,192.0,75.3,49.0,2110.0,103.89,89.0,537.0,81.99,50.0,2110.0,81.99,50.0,2110.0,81.99,50.0,2110.0,81.99,50.0,2110.0,0.0
127.29,100.0,1010.0,18.26,15.0,114.0,69.58,49.0,1492.0,110.08,96.0,469.0,81.3,49.0,1492.0,81.3,49.0,1492.0,81.3,49.0,1492.0,81.3,49.0,1492.0,0.0
132.5,105.0,801.0,23.14,21.0,144.0,77.91,49.0,1959.0,107.97,93.5,464.0,85.38,51.0,1959.0,85.38,51.0,1959.0,85.38,51.0,1959.0,85.38,51.0,1959.0,0.0
122.81,100.0,864.0,19.38,17.0,132.0,65.06,49.0,1405.0,103.4,91.0,475.0,77.66,48.0,1405.0,77.66,48.0,1405.0,77.66,48.0,1405.0,77.66,48.0,1405.0,0.0
121.66,97.0,853.0,18.03,15.0,187.0,67.5,47.0,2604.0,107.77,97.0,435.0,78.74,48.0,2604.0,78.74,48.0,2604.0,78.74,48.0,2604.0,78.74,48.0,2604.0,0.0
120.28,97.0,759.0,30.07,30.0,140.0,67.2,49.0,1279.0,101.18,89.0,469.0,79.69,52.0,1279.0,79.69,52.0,1279.0,79.69,52.0,1279.0,79.69,52.0,1279.0,0.0
121.64,97.0,825.0,21.34,18.0,148.0,69.54,49.0,1670.0,104.96,90.0,478.0,79.37,49.0,1670.0,79.37,49.0,1670.0,79.37,49.0,1670.0,79.37,49.0,1670.0,0.0
121.56,97.0,857.0,32.04,31.5,153.0,72.34,50.0,1800.0,115.12,101.0,503.0,85.26,54.0,1800.0,85.26,54.0,1800.0,85.26,54.0,1800.0,85.26,54.0,1800.0,0.0
116.03,93.0,873.0,24.33,23.0,143.0,67.14,48.0,2050.0,103.36,90.0,439.0,77.72,49.0,2050.0,77.72,49.0,2050.0,77.72,49.0,2050.0,77.72,49.0,2050.0,0.0
113.35,91.0,832.0,15.41,14.0,105.0,68.98,50.0,1273.0,114.71,99.0,520.0,78.11,47.0,1273.0,78.11,47.0,1273.0,78.11,47.0,1273.0,78.11,47.0,1273.0,0.0
118.39,95.0,915.0,36.24,35.0,137.0,66.49,49.0,1123.0,100.22,85.0,443.0,80.33,54.0,1123.0,80.33,54.0,1123.0,80.33,54.0,1123.0,80.33,54.0,1123.0,0.0
122.26,100.0,830.0,21.94,20.0,135.0,72.45,50.0,1443.0,107.8,96.0,397.0,81.11,50.0,1443.0,81.11,50.0,1443.0,81.11,50.0,1443.0,81.11,50.0,1443.0,0.0
122.9,100.0,843.0,27.99,25.0,198.0,67.4,49.0,2645.0,99.03,84.0,442.0,79.33,52.0,2645.0,79.33,52.0,2645.0,79.33,52.0,2645.0,79.33,52.0,2645.0,0.0
122.4,97.0,899.0,24.75,21.0,149.0,71.38,50.0,1386.0,109.42,96.0,516.0,81.99,52.0,1386.0,81.99,52.0,1386.0,81.99,52.0,1386.0,81.99,52.0,1386.0,0.0
119.04,96.0,936.0,28.39,25.0,149.0,70.4,50.0,1979.0,100.74,89.0,418.0,79.64,53.0,1979.0,79.64,53.0,1979.0,79.64,53.0,1979.0,79.64,53.0,1979.0,0.0
118.9,95.0,983.0,16.6,14.0,93.0,68.74,50.0,1190.0,96.89,84.0,483.0,75.28,46.0,1190.0,75.28,46.0,1190.0,75.28,46.0,1190.0,75.28,46.0,1190.0,0.0
124.59,101.0,931.0,27.03,25.0,133.0,68.58,50.0,1800.0,102.65,89.0,450.0,80.71,53.0,1800.0,80.71,53.0,1800.0,80.71,53.0,1800.0,80.71,53.0,1800.0,0.0
130.26,106.0,926.0,52.33,53.0,179.0,71.21,50.0,1881.0,103.37,92.0,415.0,89.29,66.0,1881.0,89.29,66.0,1881.0,89.29,66.0,1881.0,89.29,66.0,1881.0,0.0
127.5,104.0,861.0,35.07,33.0,114.0,73.36,51.0,1354.0,101.33,87.0,533.0,84.31,57.0,1354.0,84.31,57.0,1354.0,84.31,57.0,1354.0,84.31,57.0,1354.0,0.0
126.95,105.0,899.0,35.06,34.0,182.0,73.28,50.0,2332.0,100.15,85.0,471.0,83.86,56.0,2332.0,83.86,56.0,2332.0,83.86,56.0,2332.0,83.86,56.0,2332.0,0.0
120.56,97.0,914.0,23.69,22.0,119.0,70.2,50.0,1268.0,107.0,93.0,521.0,80.37,50.0,1268.0,80.37,50.0,1268.0,80.37,50.0,1268.0,80.37,50.0,1268.0,0.0
120.72,98.0,829.0,27.25,25.0,178.0,67.82,49.0,2117.0,123.26,110.0,523.0,84.76,54.0,2117.0,84.76,54.0,2117.0,84.76,54.0,2117.0,84.76,54.0,2117.0,0.0
123.84,99.0,961.0,19.97,17.0,134.0,73.52,49.0,1772.0,128.32,114.0,507.0,86.41,51.0,1772.0,86.41,51.0,1772.0,86.41,51.0,1772.0,86.41,51.0,1772.0,0.0
123.71,100.0,926.0,26.78,25.0,195.0,71.89,50.0,2348.0,116.37,102.0,511.0,84.69,53.0,2348.0,84.69,53.0,2348.0,84.69,53.0,2348.0,84.69,53.0,2348.0,0.0
119.67,96.0,885.0,15.98,14.0,143.0,71.83,49.0,1724.0,124.89,109.0,555.0,83.09,49.0,1724.0,83.09,49.0,1724.0,83.09,49.0,1724.0,83.09,49.0,1724.0,0.0
123.5,97.0,904.0,19.07,16.0,184.0,70.53,50.0,2357.0,114.66,101.0,493.0,81.94,50.0,2357.0,81.94,50.0,2357.0,81.94,50.0,2357.0,81.94,50.0,2357.0,0.0
122.45,97.0,844.0,16.42,14.0,103.0,73.04,50.0,1490.0,117.54,102.0,472.0,82.36,49.0,1490.0,82.36,49.0,1490.0,82.36,49.0,1490.0,82.36,49.0,1490.0,0.0
125.24,100.0,1069.0,24.97,22.0,179.0,72.28,50.0,1944.0,126.02,109.0,530.0,87.13,53.0,1944.0,87.13,53.0,1944.0,87.13,53.0,1944.0,87.13,53.0,1944.0,0.0
129.69,104.0,835.0,25.04,24.0,173.0,74.07,50.0,2181.0,122.74,110.0,498.0,87.88,53.0,2181.0,87.88,53.0,2181.0,87.88,53.0,2181.0,87.88,53.0,2181.0,0.0
124.18,100.0,768.0,23.72,21.0,121.0,67.78,49.0,1401.0,123.49,111.0,443.0,84.79,52.0,1401.0,84.79,52.0,1401.0,84.79,52.0,1401.0,84.79,52.0,1401.0,0.0
126.75,101.0,884.0,17.93,15.0,134.0,77.87,52.0,1817.0,126.93,111.0,467.0,87.37,52.0,1817.0,87.37,52.0,1817.0,87.37,52.0,1817.0,87.37,52.0,1817.0,0.0
128.53,102.0,944.0,23.54,21.0,97.0,69.88,51.0,1221.0,119.06,104.0,512.0,85.25,54.0,1221.0,85.25,54.0,1221.0,85.25,54.0,1221.0,85.25,54.0,1221.0,0.0
131.17,106.0,841.0,16.41,14.0,149.0,81.43,52.0,1878.0,116.93,103.0,469.0,86.48,50.0,1878.0,86.48,50.0,1878.0,86.48,50.0,1878.0,86.48,50.0,1878.0,0.0
130.06,104.0,999.0,30.32,30.0,126.0,68.37,50.0,1169.0,118.3,104.0,521.0,86.76,54.0,1169.0,86.76,54.0,1169.0,86.76,54.0,1169.0,86.76,54.0,1169.0,0.0
124.2,98.0,870.0,20.1,17.0,147.0,78.97,50.0,2136.0,116.51,104.0,464.0,84.95,51.0,2136.0,84.95,51.0,2136.0,84.95,51.0,2136.0,84.95,51.0,2136.0,0.0
122.1,97.0,850.0,15.83,14.0,135.0,75.45,50.0,1903.0,125.32,114.0,526.0,84.67,50.0,1903.0,84.67,50.0,1903.0,84.67,50.0,1903.0,84.67,50.0,1903.0,0.0
124.27,101.0,929.0,19.01,16.0,131.0,76.35,50.0,2068.0,123.45,110.0,506.0,85.77,51.0,2068.0,85.77,51.0,2068.0,85.77,51.0,2068.0,85.77,51.0,2068.0,0.0
126.19,101.0,854.0,18.76,15.0,197.0,76.68,50.0,2631.0,126.1,112.0,477.0,86.93,52.0,2631.0,86.93,52.0,2631.0,86.93,52.0,2631.0,86.93,52.0,2631.0,0.0
124.24,100.0,834.0,18.13,15.0,192.0,74.79,50.0,2781.0,119.25,105.0,596.0,84.1,50.0,2781.0,84.1,50.0,2781.0,84.1,50.0,2781.0,84.1,50.0,2781.0,0.0
119.7,96.0,854.0,21.72,19.0,132.0,82.46,52.0,1584.0,122.71,106.0,538.0,86.64,52.0,1584.0,86.64,52.0,1584.0,86.64,52.0,1584.0,86.64,52.0,1584.0,0.0
117.51,95.0,810.0,26.1,24.0,188.0,72.79,50.0,2362.0,121.2,107.0,477.0,84.4,53.0,2362.0,84.4,53.0,2362.0,84.4,53.0,2362.0,84.4,53.0,2362.0,0.0
118.49,95.0,879.0,16.89,14.0,114.0,79.08,51.0,1310.0,114.29,99.0,479.0,82.19,49.0,1310.0,82.19,49.0,1310.0,82.19,49.0,1310.0,82.19,49.0,1310.0,0.0
121.03,97.0,824.0,26.67,25.0,158.0,68.15,49.0,1827.0,125.38,114.0,509.0,85.31,53.0,1827.0,85.31,53.0,1827.0,85.31,53.0,1827.0,85.31,53.0,1827.0,0.0
119.2,97.0,854.0,27.88,26.0,150.0,84.48,52.0,1933.0,114.51,101.0,457.0,86.52,54.0,1933.0,86.52,54.0,1933.0,86.52,54.0,1933.0,86.52,54.0,1933.0,0.0
118.21,95.0,854.0,18.25,16.0,123.0,74.86,52.0,1626.0,119.38,106.0,486.0,82.67,50.0,1626.0,82.67,50.0,1626.0,82.67,50.0,1626.0,82.67,50.0,1626.0,0.0
119.15,95.0,986.0,22.89,21.0,182.0,81.25,53.0,2374.0,119.85,107.0,429.0,85.79,53.0,2374.0,85.79,53.0,2374.0,85.79,53.0,2374.0,85.79,53.0,2374.0,0.0
123.36,97.0,926.0,20.47,17.0,128.0,73.81,53.0,1431.0,127.14,113.0,493.0,86.19,53.0,1431.0,86.19,53.0,1431.0,86.19,53.0,1431.0,86.19,53.0,1431.0,0.0
124.1,100.0,916.0,18.23,15.0,144.0,85.76,53.0,1904.0,121.04,108.0,497.0,87.28,52.0,1904.0,87.28,52.0,1904.0,87.28,52.0,1904.0,87.28,52.0,1904.0,0.0
122.09,97.0,875.0,19.45,17.0,172.0,80.09,53.0,2381.0,118.18,106.0,516.0,84.95,52.0,2381.0,84.95,52.0,2381.0,84.95,52.0,2381.0,84.95,52.0,2381.0,0.0
123.81,97.0,836.0,17.01,14.0,212.0,82.25,54.0,2486.0,126.9,113.0,625.0,87.49,53.0,2486.0,87.49,53.0,2486.0,87.49,53.0,2486.0,87.49,53.0,2486.0,0.0
123.88,99.0,1094.0,16.34,14.0,141.0,80.31,55.0,1978.0,116.02,101.0,469.0,84.14,52.0,1978.0,84.14,52.0,1978.0,84.14,52.0,1978.0,84.14,52.0,1978.0,0.0
126.38,101.0,916.0,17.6,15.0,138.0,82.05,53.0,1864.0,114.04,101.0,448.0,85.02,51.0,1864.0,85.02,51.0,1864.0,85.02,51.0,1864.0,85.02,51.0,1864.0,0.0
127.24,102.0,959.0,33.53,33.0,196.0,89.09,54.0,2472.0,121.09,106.0,482.0,92.74,57.0,2472.0,92.74,57.0,2472.0,92.74,57.0,2472.0,92.74,57.0,2472.0,0.0
126.45,102.0,853.0,30.39,29.0,126.0,77.33,54.0,1743.0,118.9,105.0,464.0,88.27,57.0,1743.0,88.27,57.0,1743.0,88.27,57.0,1743.0,88.27,57.0,1743.0,0.0
123.51,98.5,909.0,18.9,16.0,137.0,84.21,54.0,2065.0,120.05,109.0,469.0,86.67,53.0,2065.0,86.67,53.0,2065.0,86.67,53.0,2065.0,86.67,53.0,2065.0,0.0
119.38,96.0,954.0,67.99,69.0,228.0,85.37,55.0,2563.0,118.29,104.0,474.0,97.76,76.0,2563.0,97.76,76.0,2563.0,97.76,76.0,2563.0,97.76,76.0,2563.0,0.0
118.67,96.0,852.0,54.15,53.0,174.0,79.61,55.0,1675.0,115.43,102.0,544.0,91.96,70.0,1675.0,91.96,70.0,1675.0,91.96,70.0,1675.0,91.96,70.0,1675.0,0.0
122.15,99.0,822.0,29.19,26.0,216.0,88.56,57.0,2912.0,121.62,109.0,590.0,90.38,58.0,2912.0,90.38,58.0,2912.0,90.38,58.0,2912.0,90.38,58.0,2912.0,0.0
123.27,100.0,893.0,24.38,22.0,160.0,87.35,57.0,2171.0,119.1,107.5,472.0,88.53,55.0,2171.0,88.53,55.0,2171.0,88.53,55.0,2171.0,88.53,55.0,2171.0,0.0
126.4,103.0,930.0,15.58,14.0,127.0,85.06,57.0,1837.0,115.44,102.0,482.0,85.62,53.0,1837.0,85.62,53.0,1837.0,85.62,53.0,1837.0,85.62,53.0,1837.0,0.0
121.74,98.0,908.0,16.09,14.0,162.0,85.4,57.0,2078.0,120.43,106.0,494.0,85.91,53.0,2078.0,85.91,53.0,2078.0,85.91,53.0,2078.0,85.91,53.0,2078.0,0.0
126.04,101.0,880.0,18.2,15.0,208.0,87.29,57.0,2941.0,114.14,101.0,468.0,86.41,53.0,2941.0,86.41,53.0,2941.0,86.41,53.0,2941.0,86.41,53.0,2941.0,0.0
133.33,105.0,1094.0,15.63,14.0,150.0,85.77,58.0,2151.0,128.42,115.0,520.0,90.79,55.0,2151.0,90.79,55.0,2151.0,90.79,55.0,2151.0,90.79,55.0,2151.0,0.0
131.29,105.0,1011.0,18.42,15.0,111.0,93.45,60.0,1563.0,119.99,106.0,448.0,90.79,55.0,1563.0,90.79,55.0,1563.0,90.79,55.0,1563.0,90.79,55.0,1563.0,0.0
127.87,101.0,895.0,15.35,14.0,199.0,92.42,59.0,2372.0,132.43,121.0,483.0,92.02,56.0,2372.0,92.02,56.0,2372.0,92.02,56.0,2372.0,92.02,56.0,2372.0,0.0
124.1,99.0,994.0,25.48,22.0,181.0,87.83,58.0,2410.0,122.84,109.0,477.0,90.06,57.0,2410.0,90.06,57.0,2410.0,90.06,57.0,2410.0,90.06,57.0,2410.0,0.0
123.02,98.0,906.0,41.77,41.0,178.0,87.63,57.0,2091.0,130.07,114.0,521.0,95.62,63.0,2091.0,95.62,63.0,2091.0,95.62,63.0,2091.0,95.62,63.0,2091.0,0.0
124.99,101.0,822.0,34.94,32.0,221.0,88.98,57.0,2284.0,120.6,105.0,528.0,92.38,61.0,2284.0,92.38,61.0,2284.0,92.38,61.0,2284.0,92.38,61.0,2284.0,0.0
127.99,104.0,983.0,44.84,44.0,188.0,89.39,61.0,1997.0,118.69,105.0,492.0,95.23,65.0,1997.0,95.23,65.0,1997.0,95.23,65.0,1997.0,95.23,65.0,1997.0,0.0
